name,location,rating,reviews,price (€),seats,sleep_places,driving_license,international,animals,model,year,weight (kg),fuel,km,tank (l),deposit (€),deposit_payment_method,smoking,most_reviews_year
Autocaravana Integral,Ericeira,"5,0",11,90,6,6,B,sob pedido,autorizados,Mercedes benz A312D,2000,"3.500,0 kg",Diesel,Desconhecido,"80,0","900,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana Perfilada,Setúbal,"5,0",7,59,4,4,B,autorizada,não autorizados,"Benimar Ducato 2,3 l 130 ch.",1997,"3.500,0 kg",Diesel,"100-150,000 km","80,0","800,00","Dinheiro, Outros",não fumadora,2022
Furgão transformado,Foros de Salvaterra,"5,0",7,75,4,3,B,sob pedido,não autorizados,FIAT DUCATO,2007,"3.300,0 kg",Diesel,75-100000 km,"100,0","900,00",Dinheiro,não fumadora,2020
Campervan,Lisboa,"5,0",12,60,3,3,B,sob pedido,autorizados,Volkswagen Transporter,1999,"2.600,0 kg",Diesel,Desconhecido,"80,0","750,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",8,100,5,5,B,sob pedido,sob pedido,Sunlight A 68,2018,"3.495,0 kg",Diesel,15-30000 km,"80,0","1 500,00",Transferência,não fumadora,2022
Furgão transformado,Lisboa,"5,0",1,95,4,2,B,autorizada,não autorizados,Lionfish Weinsberg,2013,"3.500,0 kg",Diesel,"200-250,000 km","80,0","1 250,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",2,110,6,6,B,sob pedido,autorizados,Rimor 1,2007,"3.500,0 kg",Diesel,50-75000 km,"80,0","1 500,00","Dinheiro, Transferência, Cartão De Crédito",sob pedido,2022
Autocaravana capucino,Lisboa,"5,0",2,110,6,6,B,sob pedido,autorizados,Rimor 1 Light,2010,"3.500,0 kg",Diesel,75-100000 km,"80,0","1 500,00","Dinheiro, Transferência, Cartão De Crédito",sob pedido,2022
Autocaravana Perfilada,Setúbal,"5,0",16,70,4,4,B,não autorizadas,autorizados,Benimar Perseo 680 CC,2004,"3.500,0 kg",Diesel,150-200000 km,"70,0","1 250,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Corroios,"5,0",7,70,6,6,B,sob pedido,sob pedido,Chausson 26,2003,"3.500,0 kg",Diesel,"100-150,000 km","65,0","500,00","Dinheiro, Transferência, Outros",não fumadora,2021
Autocaravana capucino,Setúbal,"5,0",5,92,6,7,B,sob pedido,autorizados,Sunlight,2010,"3.500,0 kg",Diesel,75-100000 km,"80,0","1 500,00","Dinheiro, Transferência, Outros",não fumadora,2020
Autocaravana capucino,Quinta do Conde,"5,0",7,75,4,6,B,sob pedido,autorizados,"Challenger Ducato 2,8 JTD",2005,"3.500,0 kg",Diesel,75-100000 km,"70,0","750,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,São João das Lampas,"5,0",23,55,6,6,B,sob pedido,autorizados,C.I. 2,2005,"3.400,0 kg",Diesel,75-100000 km,"70,0","1 000,00",Dinheiro,não fumadora,2020
Autocaravana capucino,Foros de Salvaterra,"5,0",18,75,4,4,B,sob pedido,não autorizados,PILOTE/MOOVEO fiat,2008,"3.300,0 kg",Diesel,75-100000 km,"80,0","900,00","Dinheiro, Transferência",não fumadora,2020
Autocaravana Integral,Almada,"5,0",10,120,4,4,B,sob pedido,sob pedido,Hymer 694 Sl,2009,"3.500,0 kg",Diesel,Desconhecido,"80,0","1 500,00",Transferência,não fumadora,2022
Autocaravana Integral,Porto Salvo,"5,0",22,80,6,6,B,sob pedido,autorizados,Hymer 644 NATALIE,1990,"3.500,0 kg",Diesel,"100-150,000 km","80,0","600,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Lisboa,"5,0",20,75,4,2,B,não autorizadas,autorizados,BO Vanette,1993,"2.510,0 kg",Diesel,"100-150,000 km","65,0","700,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Carcavelos,"5,0",21,49,3,3,B,não autorizadas,autorizados,Volkswagen Transporter T4,1999,"2.600,0 kg",Diesel,Mais 250.000 km,"65,0","600,00","Dinheiro, Transferência",não fumadora,2021
Autocaravana capucino,Lisboa,"5,0",11,44,4,4,B,sob pedido,autorizados,Autostar Anthea 445,2000,"3.500,0 kg",Diesel,150-200000 km,"65,0","1 200,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Costa da Caparica,"5,0",8,85,6,6,B,sob pedido,autorizados,Fiat,2014,"3.495,0 kg",Diesel,De 8 a 10 L / 100 km,"60,0","1 000,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana Perfilada,Setúbal,"5,0",8,55,4,3,B,sob pedido,autorizados,Challenger 32,2006,"3.500,0 kg",Diesel,75-100000 km,"70,0","800,00","Dinheiro, Transferência, Outros",não fumadora,2019
Autocaravana capucino,Lisboa,"4,5",14,60,4,4,B,não autorizadas,sob pedido,Eura Mobil Fiat Weinsberg,1991,"3.230,0 kg",Diesel,150-200000 km,"20,0","600,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Carcavelos,"5,0",17,85,5,6,B,sob pedido,não autorizados,Fiat Ducato 2.8JTD Mizar 330,2001,"3.500,0 kg",Diesel,"100-150,000 km","75,0","1 250,00","Dinheiro, Transferência",não fumadora,2020
Campervan,Lisboa,"5,0",33,71,2,2,B,não autorizadas,sob pedido,Volkswagen Transporter T3,1985,"2.600,0 kg",Diesel,Mais 250.000 km,"60,0","800,00","Cheque, Dinheiro, Transferência, Outros",não fumadora,2019
Autocaravana capucino,Quinta do Conde,"5,0",24,50,6,6,B,não autorizadas,sob pedido,"Rimor Transit 2,4 l 115 ch",2003,"3.500,0 kg",Diesel,75-100000 km,"90,0","1 300,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Lisboa,"5,0",12,89,3,2,B,sob pedido,sob pedido,Volkswagen T3,1986,"2.460,0 kg",Diesel,Mais 250.000 km,"85,0","600,00","Dinheiro, Transferência, Outros",não fumadora,2021
Autocaravana Perfilada,Mafra,"5,0",5,100,5,4,B,autorizada,autorizados,"Fiat Ducato 2,3 l 130 ch",2017,"3.500,0 kg",Diesel,50-75000 km,"80,0","500,00","Dinheiro, Transferência",fumadora,2021
Furgão transformado,Lisboa,"5,0",9,30,3,4,B,não autorizadas,não autorizados,Transformação particular Boxer,2008,"3.500,0 kg",Diesel,Mais 250.000 km,"100,0","400,00",Dinheiro,não fumadora,2022
Autocaravana capucino,São João da Talha,"5,0",31,60,6,6,B,sob pedido,sob pedido,Giottiline Therry25,2010,"3.300,0 kg",Diesel,50-75000 km,"90,0","850,00","Dinheiro, Transferência, Outros",não fumadora,2020
Furgão transformado,Fernão Ferro,"5,0",4,90,6,4,B,não autorizadas,não autorizados,"Fiat Ducato 2,3 l Multijet 130 ch.",2016,"3.500,0 kg",Diesel,"200-250,000 km","80,0","2 000,00",Dinheiro,não fumadora,2022
Autocaravana Integral,Oeiras,"5,0",8,100,3,2,B,não autorizadas,sob pedido,"Hymer Al-Ko 2,3 l 130 ch.",2005,"3.500,0 kg",Diesel,"100-150,000 km","65,0","1 000,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana Perfilada,Oeiras,"5,0",3,70,6,4,B,sob pedido,não autorizados,"Rimor Transit 2,5 l TDCi 140 ch.",2002,"3.500,0 kg",Diesel,"200-250,000 km","60,0","800,00","Cartão De Crédito, Cheque, Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Torres Novas,"5,0",11,80,6,6,B,sob pedido,não autorizados,"Sunlight 2,3 l 130 ch",2015,"3.500,0 kg",Diesel,75-100000 km,"80,0","1 250,00","Transferência, Outros",não fumadora,2022
Campervan,Oeiras,"5,0",4,65,2,2,B,não autorizadas,autorizados,Volkswagen LT 28,1993,"2.810,0 kg",Diesel,Mais 250.000 km,"70,0","600,00","Cartão De Crédito, Dinheiro",não fumadora,2022
Autocaravana capucino,Estoril,"5,0",3,124,6,6,B,sob pedido,sob pedido,Sunlight A 70,2019,"3.500,0 kg",Diesel,75-100000 km,"80,0","1 250,00","Dinheiro, Outros, Transferência, Dinheiro, Transferência, Outros, Transferência, Outros, Dinheiro",não fumadora,2022
