name,location,rating,reviews,price (€),seats,sleep_places,driving_license,international,animals,model,year,weight (kg),fuel,km,tank (l),deposit (€),deposit_payment_method,smoking,most_reviews_year
Autocaravana capucino,Charneca de Caparica,"5,0",6,70,6,5,B,sob pedido,sob pedido,Hymer,2000,"3.400,0 kg",Diesel,"100-150,000 km","60,0","1 000,00","Dinheiro, Transferência, Outros, Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Coimbra,"5,0",2,70,4,5,B,sob pedido,sob pedido,Knaus KNAUS,1992,"3.100,0 kg",Diesel,150-200000 km,"75,0","800,00","Transferência, Dinheiro, Transferência",sob pedido,2022
Autocaravana Perfilada,Coimbra,"5,0",1,60,4,6,B,autorizada,autorizados,Eura Mobil Ford,2008,"3.500,0 kg",Diesel,30-50000 km,"80,0","1 500,00","Cheque, Transferência, Dinheiro",sob pedido,2022
Campervan,Évora,"5,0",4,55,3,3,B,sob pedido,autorizados,Ford Transit,1982,"2.575,0 kg",Diesel,150-200000 km,"50,0","600,00",Dinheiro,sob pedido,2022
Autocaravana capucino,Lisboa,"4,5",12,75,4,7,B,não autorizadas,autorizados,Rimor Rimor,1998,"3.300,0 kg",Diesel,De 10 a 12 l / 100 km,"60,0","600,00","Dinheiro, Transferência",fumadora,2020
Autocaravana capucino,Évora,"5,0",2,125,5,5,B,não autorizadas,não autorizados,Chausson Trigano,2012,"3.500,0 kg",Diesel,50-75000 km,"70,0","650,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Monte do Trigo,"5,0",8,85,6,7,B,autorizada,sob pedido,Fiat Rimor,2008,"3.500,0 kg",Diesel,Desconhecido,"60,0","1 250,00",Outros,fumadora,2022
Autocaravana Perfilada,Grândola,"5,0",1,80,5,4,B,autorizada,autorizados,"Rimor Transit 2,4 l 140 ch",2005,"3.500,0 kg",Diesel,50-75000 km,"50,0","400,00","Dinheiro, Outros",não fumadora,2022
Autocaravana capucino,Vila Nova de Poiares,"5,0",1,80,6,6,B,sob pedido,sob pedido,Moncayo,2008,"3.300,0 kg",Diesel,De 10 a 12 l / 100 km,"80,0","1 500,00","Transferência, Dinheiro",sob pedido,2023
Campervan,Arazede,"5,0",1,90,3,3,B,sob pedido,sob pedido,Volkswagen Transporter T3,1984,"2.600,0 kg",Diesel,"200-250,000 km","45,0","500,00",Dinheiro,sob pedido,2022
